grid_id,geometry,roadkill_count,national_highway_rk,white_rk,corridor_count,min_dist_to_corridor,wild_boar_grid,roe_deer_grid,is_hongcheon,wild_boar_count,roe_deer_count,white_road_grade,national_road_count,highway_road_count
grid_25,"POLYGON ((127.14503771433479 38.227832411309784, 127.14503771433479 38.27783241130978, 127.0950377143348 38.27783241130978, 127.0950377143348 38.227832411309784, 127.14503771433479 38.227832411309784))",0,0,0,0,0,0.401211,0,0,1.540276433,0,1,1,0
grid_26,"POLYGON ((127.14503771433479 38.27783241130978, 127.14503771433479 38.32783241130978, 127.0950377143348 38.32783241130978, 127.0950377143348 38.27783241130978, 127.14503771433479 38.27783241130978))",0,0,0,0,0,0.401211,0,0,1.540276433,0,0,0,0
grid_55,"POLYGON ((127.19503771433479 38.12783241130979, 127.19503771433479 38.17783241130979, 127.14503771433479 38.17783241130979, 127.14503771433479 38.12783241130979, 127.19503771433479 38.12783241130979))",0,0,0,0,0,0.401211,0,0,1.540276433,0,1,0,0
grid_56,"POLYGON ((127.19503771433479 38.17783241130979, 127.19503771433479 38.227832411309784, 127.14503771433479 38.227832411309784, 127.14503771433479 38.17783241130979, 127.19503771433479 38.17783241130979))",0,0,0,0,0,0.401211,0,0,1.540276433,0,1,0,0
grid_57,"POLYGON ((127.19503771433479 38.227832411309784, 127.19503771433479 38.27783241130978, 127.14503771433479 38.27783241130978, 127.14503771433479 38.227832411309784, 127.19503771433479 38.227832411309784))",0,0,0,0,0,0.401211,0,0,1.540276433,0,2,3,0
grid_58,"POLYGON ((127.19503771433479 38.27783241130978, 127.19503771433479 38.32783241130978, 127.14503771433479 38.32783241130978, 127.14503771433479 38.27783241130978, 127.19503771433479 38.27783241130978))",0,0,0,0,0,0.401211,0,0,1.540276433,0,2,0,0
grid_87,"POLYGON ((127.24503771433479 38.12783241130979, 127.24503771433479 38.17783241130979, 127.19503771433479 38.17783241130979, 127.19503771433479 38.12783241130979, 127.24503771433479 38.12783241130979))",0,0,0,0,0,0.401211,0,0,1.540276433,0,2,1,0
grid_88,"POLYGON ((127.24503771433479 38.17783241130979, 127.24503771433479 38.227832411309784, 127.19503771433479 38.227832411309784, 127.19503771433479 38.17783241130979, 127.24503771433479 38.17783241130979))",1,1,0,0,27622.78704,0.401211,0,0,1.540276433,0,3,2,0
grid_89,"POLYGON ((127.24503771433479 38.227832411309784, 127.24503771433479 38.27783241130978, 127.19503771433479 38.27783241130978, 127.19503771433479 38.227832411309784, 127.24503771433479 38.227832411309784))",1,0,1,0,29727.03611,0.401211,0,0,1.540276433,0,2,3,0
grid_90,"POLYGON ((127.24503771433479 38.27783241130978, 127.24503771433479 38.32783241130978, 127.19503771433479 38.32783241130978, 127.19503771433479 38.27783241130978, 127.24503771433479 38.27783241130978))",0,0,0,0,0,0.401211,0,0,1.540276433,0,2,1,0
